ID,age,driving.exp.years,kilometers.per.year,lifetime.kilometers,Jostoinenkuljettajak√§ytt√§ytyyvihamielisestimoniakohtaanm,Joidenkinihmistenluonnemuuttuukunheajavatautolla2,Josjokutekeevaarallisenvirheenliikenteess√§taiajaaholtittomas,Vihamielinenk√§ytt√§ytyminenliikenteess√§johtuup√§,Joskussuutunajaessaniniinpaljonett√§minunonyksinkertaisestipu,Poliisieikiinnit√§tarpeeksihuomiotavihamieliseenk√§ytt√,Mitensuhtaudutteautollaajamiseen,AV,OV,Errors,Lapses,visual.search.subtest3,drv.ot.mean,drv.ot.median,drv.ot.sd,driving.10.mean,driving.10.median,driving.10.std,driving.15.mean,driving.15.median,driving.15.std,driving.20.mean,driving.20.median,driving.20.std,no.driving.10.mean,no.driving.10.median,no.driving.10.std,no.driving.15.mean,no.driving.15.median,no.driving.15.std,no.driving.20.mean,no.driving.20.median,no.driving.20.std,driving.10NT.mean,driving.10NT.median,driving.10NT.std,driving.15NT.mean,driving.15NT.median,driving.15NT.std,driving.20NT.mean,driving.20NT.median,driving.20NT.std,no.driving.10NT.mean,no.driving.10NT.median,no.driving.10NT.std,no.driving.15NT.mean,no.driving.15NT.median,no.driving.15NT.std,no.driving.20NT.mean,no.driving.20NT.median,no.driving.20NT.std,drive1.glances,drive2.glances,drive3.glances,drive3.glances.minus11,drive4.glances,drive5.glances,drive6.glances,drive7.glances,drive8.glances,drive4.glances.minus11,drive5.glances.minus11,drive6.glances.minus16,drive7.glances.minus16,drive8.glances.minus16,DBQ,driving.10.total,driving.15.total,driving.20.total,no.driving.10.total,no.driving.15.total,no.driving.20.total,driving.10NT.total,driving.15NT.total,driving.20NT.total,no.driving.10NT.total,no.driving.15NT.total,no.driving.20NT.total,NT10.g.duration.mean,NT10.g.duration.mdn,NT10.g.duration.std,NT15.g.duration.mean,NT15.g.duration.mdn,NT15.g.duration.std,NT20.g.duration.mean,NT20.g.duration.mdn,NT20.g.duration.std,total.time.NT
P01,29,10,15000,120000,1,3,3,4,1,2,4,.333333333333333,.75,0,.625,48.1481481481481,1.87783157894737,1.23649999999999,1.78537456620625,3.8930999995,3.802000046,1.40304612136416,4.6489999529,4.116499901,3.20512172468598,5.9925000907,4.2840001585,4.9230860977712,2.3057000161,2.0520000455,1.16034414870085,2.8105999946,2.5185000895,1.43459931061135,4.4094000101,4.5469999315,1.65139620868314,6.34979999866667,6.361999989,1.65382779022031,5.41546665833333,5.398000002,.943153111225554,8.22899999613333,8.111999989,.829512068698569,3.12199994733333,3.000999928,.431084540467755,4.98526671726667,5.000999928,.865113070554059,6.372599999,6.375,1.2339969068091,50,39,41,30,40,53, ,50,69,29,42, ,34,53,1.70833333333333,38.93,46.48999953,59.92500091,23.05700016,28.10599995,44.0940001,95.24699998,81.23199988,123.4349999,46.82999921,74.77900076,95.58899999, , , ,1684.66,1624.5,1027.9372,1630.88406,1580,889.562757,99.9713332533333
P02,30,12,5500,200000,1,2,4,1,1,3,4,.666666666666667,.375,.625,.875,44.4444444444444,1.93353287671233,1.726,1.17126342018338,2.3592000246,2.146999955,.789615785138828,6.152199984,6.5354999305,2.20991562235439,5.0226999758,4.667500019,2.51239201346368,2.104399991,2.0349999665,.646597142271075,3.3612000229,2.741999984,1.92499846478035,4.6950000286,3.3740000725,2.98763389503452,4.379733324,4.501999855,.885442491390231,6.57820002233333,6.648000002,1.95707147013279,10.851133347,12.08399987,3.33763340969919,4.15240000086667,4.241000175,.847503874747146,7.50326665233333,7.734999895,2.14670221183164,7.14673331586667,7.473999977,1.48464352417055,62,57,26,15,38,38,54,67,84,27,27,38,51,68,2.54166666666667,23.59200025,61.52199984,50.22699976,21.04399991,33.61200023,46.95000029,65.69599986,98.67300034,162.7670002,62.28600001,112.5489998,107.2009997,1341.7963,1309.5,737.056983,1394.10448,1372,662.319916,1707.44048,1716,705.303734,109.045333466667
P03,27,9,5000,50000,2,4,3,1,1,3,4,0,1.625,.75,1.25,51.8518518518519,1.70212837837838,1.5418,.619734305756573,4.6203000067,3.9204999205,3.23244025408016,7.2114999535,4.713500023,6.10681059172536,8.3845000031,6.6744999885,5.31415343355309,2.3867000101,2.255500078,1.01688659995895,4.1254999399,3.8224998715,1.4631107919456,5.7812000041,4.9469999075,2.87234073200079,8.12980000226667,8.25,1.95582816590484,8.52200001093333,8.141000032,2.88389384586564,19.3817999831333,16.40699983,10.5624993485492,5.25679998406667,5.477999926,1.19263716523337,5.04166665073333,5.180999994,1.11461391890844,9.52253333733333,9.171999931,2.05468277249412,59,57,47,36,62,60,79,74,80,51,49,63,58,64,3.625,46.20300007,72.11499954,83.84500003,23.8670001,41.2549994,57.81200004,121.947,127.8300002,290.7269997,78.85199976,75.62499976,142.8380001,1344.16456,1311,656.100962,1486.18919,1432,790.105727,1645.15,1610,905.622188,180.167999966667
P04,20,2.4,15000,50000,1,5,3,2,3,5,5,.666666666666667,1.75,.625,1.75,50,1.80768441558442,1.4999,1.19266680396507,2.3633999823,2.4149999615,.93192305504667,6.4015000588,4.2855000495,5.04664413133806,4.8950999501,3.8439999815,2.55402798650323,2.0438999653,2.153499961,.461392228869043,4.4949000115,3.2545000315,3.34748127674666,4.522399974,3.595000029,2.2205835817825,4.22613334666667,3.963999987,.920837415413742,6.62719999946667,6.529999971,2.22610111840188,5.10413331986667,5.164000034,.989995169356809,5.4717333792,5.144000053,.977535095905818,4.68186666166667,4.601999998,.674004655900913,6.47026664426667,6.214999914,.911637952123324,38,37,25,14,48,39,52,57,49,37,28,36,41,33,4.79166666666667,23.63399982,64.01500059,48.9509995,20.43899965,44.94900012,45.22399974,63.3920002,99.40799999,76.5619998,82.07600069,70.22799993,97.05399966,1308.63462,1118.5,825.025229,1775.92982,1792,875.715725,1682.71429,1448,990.551277,79.78733333
P05,28,10,1000,10000,1,5,4,3,2,3,4,0,1.125,.5,.875,88.8888888888889,1.34645212765957,1.25805,.560952763757759,3.1650999545,2.808499932,1.24799617114348,3.8380000114,4.338000059,1.73805758899296,6.9520999672,7.5805000065,3.05264857959,2.221200013,2.2369999885,.484689989873254,3.3264999868,4.2035000325,1.67055794876296,3.20780000675,2.9974999425,1.46215800912437,4.20753332773333,4.265000105,1.15629036120453,9.1461999736,9.20299983,2.97421404977914,10.2930000304,10.98000002,2.52128724355556,3.1187333106,3.119999886,.431223907443983,4.95339999206667,5.112999916,1.15226780660244,7.63186666186667,7.970000029,1.41697967905149,95,91,44,33,63,68,71,126, ,52,57,55,110, ,2.5,31.65099955,38.38000011,69.52099967,22.21200013,33.26499987,64.15600014,63.11299992,137.1929996,154.3950005,46.78099966,74.30099988,114.4779999,846.408451,723,485.803269,899.126984,871,447.28602, , , ,118.233666673333
P06,20,3,350,1000,1,5,2,3,2,2,3,0,.875,.25,.875,37.037037037037,1.93985277777778,1.987,.95711189993974,2.5060000182,2.447000027,.884420688708221,2.9998000382,2.611000061,1.54740443562764,4.5358999968,5.172999978,1.9206001667886,1.6384000302,1.62800014,.327868234480211,2.8691000222,3.057000041,1.20304342382216,4.2422000169,4.48300004,1.38119003418503,4.9592000326,4.851999998,.863355378541462,6.326466624,6.332999945,1.55008408030792,7.92906668966667,8.020999908,1.29897652254654,3.36213335986667,3.342999935,.923101047253588,5.02573335966667,5.100000143,1.27856549228629,6.7898666858,6.901000023,1.67396106019572,79,67,30,19,30,39,67,63,81,19,28,51,47,65,2,25.06000018,29.99800038,45.35899997,16.3840003,28.69100022,42.42200017,74.38800049,94.89699936,118.9360003,50.4320004,75.3860004,101.8480003,1041.41791,1033,574.438676,1429.80952,1407,889.008906,1347.81481,1185,653.613267,96.0736667166667
P07,22,5,200,10000,1,5,2,1,1,4,5,0,.625,0,.125,96.2962962962963,2.833596,2.5695,1.20198941113201,2.6052000284,2.654499888,1.02169914217752,3.6305000066,3.5375000235,1.8025878201945,4.573200059,4.566000104,2.26553938160759,2.47536366618182,2.534000158,.921134083223619,3.6983999491,3.554499984,1.75333672985885,5.5066999909,5.4924999475,2.56891518332677,6.0282666524,5.986000061,1.58107271591382,4.99360003473333,4.986999989,.605023499857821,8.5380000112,8.88499999,1.75625199362835,3.56959997813333,3.302000046,.846415784552379,5.5259999752,5.150000095,1.74946030836836,5.90513332686667,5.921999931,1.15897762619084,38,30,35,24,41,45,69,59,90,30,34,53,43,74,.75,26.05200028,36.30500007,45.73200059,27.22900033,36.98399949,55.06699991,90.42399979,74.90400052,128.0700002,53.54399967,82.88999963,88.5769999,1343.3913,1151,730.534156,1178,909,749.221596,1372.277778,1210.5,863.14916,97.7993335033333
P08,19,.9,30000,70000,3,4,5,2,2,3,5,2,2.25,.375,1.25,62.962962962963,2.63848214285714,2.46765,.683755360851749,2.9381000042,2.6489999295,1.34985024070293,7.5923000337,7.1605000495,5.35995197161948,8.7325999745,7.1755000355,6.00593617809473,2.5485000132,2.593000054,.654052851523321,7.1229000094,4.3845000265,9.35961441167112,5.279099965,5.5919998885,2.59815493758654,5.12266666093333,5.227999926,.958233394328859,6.8698666414,6.340999842,1.20330656486897,11.0490666712,11.12899995,3.54753883995067,3.7713333608,3.988999844,.840026128815851,6.80073339173333,6.680000067,1.83886360643097,8.31573328926667,8.620000124,1.62836976313734,57,77,34,23,58,70,70,97,121,47,59,54,81,105,5.875,29.38100004,75.92300034,87.32599975,25.48500013,71.22900009,52.79099965,76.83999991,103.0479996,165.7360001,56.57000041,102.0110009,124.7359993,1122.52857,966.5,604.560464,987.247423,922,465.597489,966.793388,917,371.436197,115.20799987
P09,24,4,5000,25000,2,5,4,2,2,3,2,0,1.125,1,2.25,62.9629629629629,1.77155584415584,1.33750000000001,1.05456503199605,2.7259000781,1.8515000345,2.74203523211514,10.7698999647,9.6134999985,6.02211665497729,16.5971999889,10.0249999785,14.5651450306241,2.6621000528,2.525500059,1.06101170898819,6.9568000316,4.371999979,6.44975751532003,5.5567000144,4.689499974,4.64692880951892,5.33066665333333,5.217000008,1.75313204465905,7.44740002893333,6.875,2.90143687300234,16.7741333338,17.94400001,7.21944972134933,7.7334000274,8.186000109,2.87411609360413,5.96340001426667,6.187000036,1.11292244564752,8.2306000394,7.166000128,2.35847657251726,64,55,23,12,62,69,42,56,74,51,58,26,40,58,4.375,27.25900078,107.6989996,165.9719999,26.62100053,69.56800032,55.56700014,79.9599998,111.7110004,251.612,116.0010004,89.45100021,123.4590006,1979.2619,2033,1158.9982,2017.07143,1717.5,1193.76291,1857.43243,1647.5,1013.30098,147.761000066667
P10,24,5,4000,40000,1,3,2,1,1,3,4,0,1.125,.125,1.25,79.6296296296296,2.06996769230769,2.00199999999998,1.04048533884248,3.0524000168,2.9585000275,1.35046388484944,5.6885000471,5.0670000315,3.42534128496857,5.1868000272,3.6845000985,3.64556230178935,2.3434000493,2.2675001625,.502328589767447,5.6282000062,5.752999902,2.93264132008023,6.1250999928,4.489500046,5.59268625595549,4.62053338693333,4.435000181,1.1320266469216,6.7975999992,7.03399992,1.81420606172859,8.3579332824,8.430000067,1.19946187918944,4.32613337833333,4.161000013,.982055326334428,5.09426668486667,5.079999924,.740846684880205,6.7660000325,7.5519999265,2.53046991809061,45,48,28,17,37,36,55,68,66,26,25,39,52,50,2.5,30.52400017,56.88500047,51.86800027,23.43400049,56.28200006,61.25099993,69.3080008,101.964,125.3689992,64.89200068,76.41400027,108.2560005,1354.96364,1083,852.548466,1571.35294,1590,717.163042,1875.0303,1590,717.163042,98.8803333333333
P11,29,5.5,1000,5000,1,4,3,2,1,2,3,0,1.125,0,.875,50,2.70849038461538,2.5565,1.64412806526857,3.2213000058,3.3485000135,.963989255926367,6.2886000396,5.6815000775,4.77826673876765,6.8644999741,5.766499996,4.85390717786705,3.288599992,3.350500107,.910992537818447,5.8592999696,4.9769999985,3.71579080298723,7.0864999762,6.707999945,3.80251206530654,5.7145332972,5.474999905,1.40533561481564,8.51553335133333,7.784999847,2.79280810877534,10.6562000133333,10.63199997,1.76457016716245,4.4466666858,4.558000088,.849935428840199,5.17173331573333,5.507999897,1.49853143842751,8.59219999253333,8.625999928,2.71276262870487,58,45,33,22,39,49,67,96,87,28,38,51,80,71,2,32.21300006,62.8860004,68.64499974,32.88599992,58.5929997,70.86499976,85.71799946,127.7330003,159.8430002,66.70000029,77.57599974,128.8829999,1289.31343,1273,733.770652,1271.09375,1183,578.05793,1533.11494,1463,775.028258,124.43133332
P12,23,6,12500,55000,2,4,4,3,1,3,3,.333333333333333,.875,.375,.875,40.7407407407407,3.16112040816327,3.19770000000001,.775096989624414,1.9656000138,1.4835000035,.801077362315037,4.3044000149,4.5730000735,2.24591200591556,3.577499938,3.0434999465,1.95908991151356,1.874699998,2.0100001095,.478896414475344,5.0427999729,4.718500137,3.12295484834148,4.3495000123,3.3394999505,2.57725747282078,6.59613329566667,6.179000139,1.12507777923466,5.8522666772,5.539999962,1.28515811634492,8.4305333456,8.947000027,1.48397333470921,3.87033335373333,3.970000029,.89124230204239,4.60186665853333,4.977999926,1.32758230847245,9.0249333226,8.892999887,2.29779469401371,82,49,22,11,32,33,75,59,78,21,22,59,43,62,2.45833333333333,19.65600014,43.04400015,35.77499938,18.74699998,50.42799973,43.49500012,98.94199944,87.78400016,126.4580002,58.05500031,69.02799988,135.3739998,1215.3733,1199,476.310192,1459.77966,1465,657.674851,1569.74359,16785,607.46423,104.3946666
P13,25,4,2000,10000,2,4,4,2,2,1,4,0,1.75,.75,1.875,44.4444444444444,2.42811333333333,2.26155,.748139749355006,4.8339000226,3.7440000775,2.70360784337759,5.5748000386,5.6514999865,2.61671353365146,5.2703000308,5.1020001175,2.0699819541276,2.3978999615,2.195499897,.977395932491767,5.1088999747,4.5599999425,2.65392205937161,3.5839000226,3.0195000175,2.22882976932543,8.59113329286667,8.849999905,3.01162765545068,7.16273334826667,7.022000074,1.1649075624573,12.1210000048,11.40799999,3.78441862241039,4.42633325266667,4.325999975,.684660058903903,8.2377333644,8.479000092,2.72343584918129,7.59466668773333,7.694999933,.716746858779908,54,57,28,17,39,39,78,49,60,28,28,62,33,44,4.375,48.33900023,55.74800039,52.70300031,23.97899962,51.08899975,35.83900023,128.8669994,107.4410002,181.8150001,66.39499879,123.5660005,113.9200003,1707.85897,1808,878.329165,2274.22449,2490,1151.95045,2406.1,2494.5,1175.7803,139.374333233333
P14,32,14,2000,40000,1,5,4,1,1,3,3,.333333333333333,.5,.375,.875,62.9629629629629,1.81474266666667,1.3045,1.1737023748129,3.5536000491,3.611500025,1.23268943720355,7.7236999511,5.8140000105,7.11432768202264,5.8440999748,5.801999927,2.65149759457193,2.661800027,2.771000028,.559954286374447,4.5604000326,4.637500048,2.3389600230893,2.308799982,2.055999875,1.09758588521973,4.4534666698,4.163000107,1.29981807299927,6.54093335466667,6.117000103,1.88078211271547,9.4753333726,9.697999954,1.9267603259282,3.59853329666667,3.860999823,.915066590361057,5.07380000753333,5.429000139,1.55143287136697,6.40766666733333,6.376999855,.708205507636945,44,41,27,16,40,37,48,68,73,29,26,32,52,57,2.08333333333333,35.53600049,77.23699951,58.44099975,26.61800027,45.60400033,23.08799982,66.80200005,98.11400032,142.1300006,53.97799945,76.10700011,96.11500001,1337.4375,1375,653.148835,1128.11765,1072,529.69097,1336.72603,1353,598.552612,102.34866699
